crossing time (s)	slope (V/s)	crossing number
6596.854428	3.953449	3887
6597.787298	3.026029	3888
6598.879172	4.045930	3889
6599.850608	2.707597	3890
6600.922602	3.518308	3891
6601.906299	2.981913	3892
6602.991286	3.014440	3893
6603.970953	3.331364	3894
6605.048307	3.038576	3895
6606.026308	3.615264	3896
6607.099298	3.090107	3897
6608.080358	3.447473	3898
6609.150129	3.390798	3899
6610.134435	3.405001	3900
6611.202771	3.927532	3901
6612.184990	3.539469	3902
6613.250211	4.251946	3903
6614.230483	3.473054	3904
6615.291945	4.741857	3905
6616.278308	3.676429	3906
6617.339775	5.120718	3907
6618.337902	4.322196	3908
6619.401476	5.197048	3909
6620.393962	5.418312	3910
6621.461159	5.995431	3911
6622.444867	5.638499	3912
6623.516066	6.416223	3913
6624.501097	5.211331	3914
6625.563812	5.383453	3915
6626.559369	4.724542	3916
6627.602301	4.697685	3917
6628.610882	4.665058	3918
6629.669989	5.713658	3919
6630.666246	4.438346	3920
6631.732655	6.458745	3921
6632.717363	4.721022	3922
6633.794207	6.922799	3923
6634.768366	5.452552	3924
6635.850706	7.121147	3925
6636.821631	5.989089	3926
6637.907258	7.162724	3927
6638.878494	6.809422	3928
6639.959667	7.151399	3929
6640.936274	7.222393	3930
6642.012541	7.257115	3931
6642.991260	7.416322	3932
6644.063087	7.421809	3933
6645.046444	7.196504	3934
6646.108445	7.435035	3935
6647.104090	6.753005	3936
6648.156615	7.605083	3937
6649.159595	6.238215	3938
6650.206721	7.979562	3939
6651.209829	6.208069	3940
6652.259727	8.553010	3941
6653.264065	7.226653	3942
6654.314200	9.701159	3943
6655.321264	8.417413	3944
6656.370057	10.622388	3945
6657.373946	8.759409	3946
6658.423733	10.559129	3947
6659.429439	8.579477	3948
6660.475746	9.684074	3949
6661.482907	8.802206	3950
6662.530733	9.260005	3951
6663.536193	8.930328	3952
6664.585180	9.164571	3953
6665.588981	8.753865	3954
6666.638963	9.175665	3955
6667.643765	8.299699	3956
6668.692831	8.621865	3957
6669.697642	8.221927	3958
6670.744839	8.546021	3959
6671.748604	8.155353	3960
6672.798131	8.896981	3961
6673.803116	8.438940	3962
6674.851885	9.679917	3963
6675.856031	8.852312	3964
6676.905556	10.191825	3965
6677.910316	9.379033	3966
6678.958753	10.503623	3967
6679.964253	9.569227	3968
6681.011047	10.585917	3969
6682.016566	9.659965	3970
6683.064113	10.608864	3971
6684.069568	9.412399	3972
6685.115745	10.629071	3973
6686.122347	9.661027	3974
6687.166795	10.844121	3975
6688.177739	10.195378	3976
6689.219198	11.005277	3977
6690.230892	10.995309	3978
6691.271676	11.487697	3979
6692.285309	11.763643	3980
6693.324557	12.031867	3981
6694.339192	12.732950	3982
6695.377418	12.584138	3983
6696.390708	13.301820	3984
6697.429745	12.886282	3985
6698.443127	13.434196	3986
6699.483517	12.604364	3987
6700.495354	12.913783	3988
6701.537423	12.097070	3989
6702.545939	12.329541	3990
6703.591627	11.804297	3991
6704.599089	11.649841	3992
6705.645206	11.910872	3993
6706.650246	11.360970	3994
6707.699738	12.394361	3995
6708.701739	11.659072	3996
6709.753120	12.926513	3997
6710.754192	12.088326	3998
6711.804612	12.744172	3999
6712.806599	12.307383	4000
6713.856885	12.226253	4001
6714.856557	12.584548	4002
6715.906885	11.921375	4003
6716.909883	12.707769	4004
6717.960292	11.558172	4005
6718.961840	12.391876	4006
6720.010707	11.848046	4007
6721.014350	11.982020	4008
6722.062800	12.068126	4009
6723.066556	12.073204	4010
6724.114728	12.278662	4011
6725.121838	12.233824	4012
6726.162456	12.047815	4013
6727.173028	12.092770	4014
6728.210897	11.672173	4015
6729.226721	11.773325	4016
6730.264603	11.331187	4017
6731.277669	11.573109	4018
6732.316483	11.213113	4019
6733.328919	11.365763	4020
6734.369592	11.444669	4021
6735.380940	11.079916	4022
6736.419820	11.369982	4023
6737.432210	11.448514	4024
6738.471984	11.625431	4025
6739.484027	11.627963	4026
6740.523271	11.714883	4027
6741.535573	11.760944	4028
6742.574862	11.666159	4029
6743.586186	11.753308	4030
6744.627250	11.591586	4031
6745.638117	11.634469	4032
6746.679112	11.424960	4033
6747.689470	11.448894	4034
6748.730786	11.415428	4035
6749.741794	11.373271	4036
6750.782179	11.414892	4037
6751.793403	11.377442	4038
6752.833821	11.491899	4039
6753.845202	11.340527	4040
6754.884058	11.404185	4041
6755.896627	11.386735	4042
6756.936111	11.350913	4043
6757.948579	11.491076	4044
6758.988351	11.399343	4045
6760.000853	11.539263	4046
