time (s)	det(V)
3509.661367	0.118656	
3509.662930	0.116098	
3509.664638	0.112988	
3509.685560	0.083073	
3509.687282	0.079887	
3509.688809	0.077232	
3509.690517	0.074058	
3509.692056	0.072040	
3509.693748	0.068878	
3509.695302	0.066988	
3509.696979	0.063037	
3509.698565	0.061913	
3509.700232	0.059020	
3509.701824	0.057365	
3509.703467	0.053526	
3509.705059	0.052474	
3509.706700	0.050533	
3509.708317	0.048470	
3509.709940	0.046017	
3509.711588	0.044905	
3509.713214	0.043306	
3509.714862	0.041078	
3509.716475	0.039829	
3509.718124	0.038778	
3509.719712	0.037135	
3509.721387	0.035157	
3509.722950	0.035181	
3509.724644	0.033569	
3509.726178	0.032949	
3509.727896	0.031330	
3509.729434	0.031124	
3509.731169	0.029436	
3509.732690	0.029187	
3509.734442	0.028151	
3509.735921	0.027745	
3509.737694	0.026939	
3509.739182	0.026516	
3509.740954	0.025730	
3509.742439	0.025424	
3509.744221	0.025279	
3509.745706	0.024989	
3509.747497	0.024208	
3509.748978	0.024047	
3509.750740	0.024095	
3509.752247	0.023676	
3509.753991	0.023317	
3509.755516	0.023442	
3509.757227	0.023354	
3509.758753	0.022898	
3509.760446	0.022814	
3509.762005	0.022878	
3509.763688	0.022592	
3509.765250	0.022447	
3509.766915	0.022492	
3509.768504	0.022391	
3509.770162	0.021952	
3509.771763	0.022028	
3509.773399	0.022588	
3509.775018	0.022153	
3509.776648	0.021738	
3509.778268	0.022274	
3509.779879	0.021895	
3509.781521	0.021211	
3509.783129	0.021553	
3509.784808	0.021452	
3509.786384	0.020784	
3509.788067	0.020175	
3509.789612	0.020876	
3509.791316	0.020143	
3509.792878	0.019789	
3509.794568	0.019672	
3509.796138	0.019132	
3509.797860	0.018431	
3509.799396	0.018153	
3509.801133	0.017674	
3509.802620	0.017315	
3509.804372	0.016534	
3509.805857	0.016449	
3509.807629	0.015639	
3509.809112	0.015486	
3509.810899	0.014729	
3509.812383	0.014503	
3509.814155	0.013617	
3509.815642	0.013287	
3509.817391	0.013114	
3509.818896	0.012517	
3509.820614	0.011261	
